judul,catatan,kategori,deadline,waktu_dibuat,prioritas
Tugas 1,Catatan untuk tugas 1,Ulang Tahun,2025-04-19 01:00,2025-04-14 23:00,Sedang
Tugas 2,Catatan untuk tugas 2,Wishlist,2025-04-16 15:00,2025-04-15 05:00,Tinggi
Tugas 3,Catatan untuk tugas 3,Ulang Tahun,2025-04-17 20:00,2025-04-15 00:00,Rendah
Tugas 4,Catatan untuk tugas 4,Romantis,2025-04-18 21:00,2025-04-14 14:00,Sedang
Tugas 5,Catatan untuk tugas 5,Romantis,2025-04-21 00:00,2025-04-17 06:00,Tinggi
Tugas 6,Catatan untuk tugas 6,Ulang Tahun,2025-04-18 06:00,2025-04-17 04:00,Sedang
Tugas 7,Catatan untuk tugas 7,Ulang Tahun,2025-04-16 15:00,2025-04-16 03:00,Sedang
Tugas 8,Catatan untuk tugas 8,Romantis,2025-04-18 18:00,2025-04-15 15:00,Tinggi
Tugas 9,Catatan untuk tugas 9,Kerja,2025-04-17 01:00,2025-04-14 21:00,Sedang
Tugas 10,Catatan untuk tugas 10,Ulang Tahun,2025-04-19 04:00,2025-04-14 17:00,Tinggi
Tugas 11,Catatan untuk tugas 11,Romantis,2025-04-17 08:00,2025-04-17 03:00,Tinggi
Tugas 12,Catatan untuk tugas 12,Kuliah,2025-04-17 16:00,2025-04-16 18:00,Tinggi
Tugas 13,Catatan untuk tugas 13,Wishlist,2025-04-20 08:00,2025-04-16 07:00,Tinggi
Tugas 14,Catatan untuk tugas 14,Kerja,2025-04-18 22:00,2025-04-15 13:00,Sedang
Tugas 15,Catatan untuk tugas 15,Romantis,2025-04-17 14:00,2025-04-14 15:00,Rendah
Tugas 16,Catatan untuk tugas 16,Kerja,2025-04-16 21:00,2025-04-15 21:00,Tinggi
Tugas 17,Catatan untuk tugas 17,Kerja,2025-04-20 20:00,2025-04-16 04:00,Sedang
Tugas 18,Catatan untuk tugas 18,Wishlist,2025-04-19 01:00,2025-04-15 09:00,Sedang
Tugas 19,Catatan untuk tugas 19,Ulang Tahun,2025-04-18 02:00,2025-04-16 10:00,Sedang
Tugas 20,Catatan untuk tugas 20,Wishlist,2025-04-16 06:00,2025-04-15 11:00,Rendah
Tugas 21,Catatan untuk tugas 21,Romantis,2025-04-21 08:00,2025-04-16 18:00,Sedang
Tugas 22,Catatan untuk tugas 22,Kuliah,2025-04-17 06:00,2025-04-16 23:00,Sedang
Tugas 23,Catatan untuk tugas 23,Romantis,2025-04-21 14:00,2025-04-16 20:00,Rendah
Tugas 24,Catatan untuk tugas 24,Kerja,2025-04-17 07:00,2025-04-16 12:00,Sedang
Tugas 25,Catatan untuk tugas 25,Ulang Tahun,2025-04-16 05:00,2025-04-15 13:00,Sedang
Tugas 26,Catatan untuk tugas 26,Wishlist,2025-04-21 10:00,2025-04-17 08:00,Sedang
Tugas 27,Catatan untuk tugas 27,Wishlist,2025-04-20 08:00,2025-04-15 18:00,Sedang
Tugas 28,Catatan untuk tugas 28,Kerja,2025-04-17 07:00,2025-04-15 17:00,Sedang
Tugas 29,Catatan untuk tugas 29,Ulang Tahun,2025-04-19 12:00,2025-04-15 19:00,Rendah
Tugas 30,Catatan untuk tugas 30,Kuliah,2025-04-20 14:00,2025-04-17 03:00,Tinggi
Tugas 31,Catatan untuk tugas 31,Kerja,2025-04-25 10:00,2025-04-20 09:00,Rendah
Tugas 32,Catatan untuk tugas 32,Kerja,2025-04-22 13:00,2025-04-18 08:00,Sedang
Tugas 33,Catatan untuk tugas 33,Kerja,2025-04-18 18:00,2025-04-14 10:00,Tinggi
Tugas 34,Catatan untuk tugas 34,Kerja,2025-04-20 09:00,2025-04-17 11:00,Sedang
Tugas 35,Catatan untuk tugas 35,Kerja,2025-04-23 15:00,2025-04-19 07:00,Sedang
Tugas 36,Catatan untuk tugas 36,Romantis,2025-04-24 21:00,2025-04-20 05:00,Sedang
Tugas 37,Catatan untuk tugas 37,Romantis,2025-04-25 23:00,2025-04-21 02:00,Tinggi
Tugas 38,Catatan untuk tugas 38,Romantis,2025-04-20 18:00,2025-04-17 16:00,Rendah
Tugas 39,Catatan untuk tugas 39,Wishlist,2025-04-19 12:00,2025-04-15 14:00,Sedang
Tugas 40,Catatan untuk tugas 40,Wishlist,2025-04-22 08:00,2025-04-18 04:00,Sedang
Tugas 41,Catatan untuk tugas 41,Kuliah,2025-04-21 15:00,2025-04-17 12:00,Sedang
"Tugas 42,Catatan untuk tugas 42,Kuliah,2025-04-21 10:00,2025-04-19 09:00,Tinggi							 "
Tugas 43,Catatan untuk tugas 43,Ulang Tahun,2025-04-21 16:00,2025-04-17 02:00,Sedang
Tugas 44,Catatan untuk tugas 44,Ulang Tahun,2025-04-22 08:00,2025-04-19 20:00,Tinggi
Tugas 45,Catatan untuk tugas 45,Kerja,2025-04-24 09:00,2025-04-20 06:00,Sedang
Tugas 46,Catatan untuk tugas 46,Romantis,2025-04-26 12:00,2025-04-21 14:00,Sedang
Tugas 47,Catatan untuk tugas 47,Wishlist,2025-04-25 10:00,2025-04-21 12:00,Sedang
Tugas 48,Catatan untuk tugas 48,Wishlist,2025-04-20 11:00,2025-04-16 09:00,Sedang
Tugas 49,Catatan untuk tugas 49,Romantis,2025-04-27 17:00,2025-04-23 16:00,Sedang
Tugas 50,Catatan untuk tugas 50,Kerja,2025-04-30 08:00,2025-04-26 03:00,Sedang
Tugas 52,Catatan untuk tugas 33,Kuliah,2025-04-18 18:00,2025-04-14 10:00,Tinggi
Tugas 42,Catatan untuk tugas 42,Kuliah,2025-04-26 10:00,2025-04-19 09:00,Rendah  
Project Web,Membuat halaman landing page,Kerja,2025-04-17 18:00,2025-04-18 18:00,Tinggi
Refactor Code,Merapikan struktur project,Kerja,2025-04-17 18:30,2025-04-20 18:00,Sedang
Presentasi Klien,Mempersiapkan presentasi,Kerja,2025-04-17 19:00,2025-04-18 17:00,Tinggi
Fix Bug,Fokus pada error login,Kerja,2025-04-16 18:00,2025-04-17 18:00,Tinggi
Update UI,Ganti warna dan layout,Kerja,2025-04-16 18:00,2025-04-19 18:00,Sedang
Proposal Tugas,Membuat draft proposal,Kuliah,2025-04-16 14:00,2025-04-21 14:00,Sedang
Quiz Online,Mengerjakan quiz mata kuliah,Kuliah,2025-04-16 13:00,2025-04-17 12:00,Tinggi
Baca Materi,Baca materi minggu ini,Kuliah,2025-04-15 15:00,2025-04-22 12:00,Rendah
Resume Jurnal,Membuat ringkasan jurnal,Kuliah,2025-04-15 16:00,2025-04-20 12:00,Sedang
Diskusi Forum,Balas topik diskusi,Kuliah,2025-04-16 13:30,2025-04-23 13:00,Rendah
Beli Buku,Cari buku rekomendasi,Wishlist,2025-04-15 18:00,2025-05-01 18:00,Rendah
Nonton Film,Rencana nonton bareng,Wishlist,2025-04-14 20:00,2025-04-28 20:00,Rendah
Cari Gadget,Lihat harga dan review,Wishlist,2025-04-16 19:00,2025-04-30 20:00,Rendah
Kado Ultah,Beli kado untuk teman,Ulang Tahun,2025-04-16 17:00,2025-04-23 17:00,Sedang
Tulis Surat,Tulis kartu ucapan,Ulang Tahun,2025-04-15 10:00,2025-04-22 09:00,Rendah
Persiapan Dinner,Booking tempat makan,Romantis,2025-04-16 18:30,2025-04-18 18:00,Sedang
Tulis Puisi,Persiapan kejutan puisi,Romantis,2025-04-15 19:00,2025-04-25 19:00,Rendah
